"","word","n"
"1164","her alma mater",2
"1165","her debut album",2
"1166","her first two",2
"1167","high honors from",2
"1168","high school he",2
"1169","him as a",2
"1170","him as one",2
"1171","him to participate",2
"1172","his ability to",2
"1173","his appearance at",2
"1174","his career moore",2
"1175","his career with",2
"1176","his classic period",2
"1177","his contributions to",2
"1178","his debut solo",2
"1179","his first band",2
"1180","his first year",2
"1181","his later career",2
"1182","his most recent",2
"1183","his most successful",2
"1184","his music as",2
"1185","his music has",2
"1186","his own bands",2
"1187","his own group",2
"1188","his own quintet",2
"1189","his record label",2
"1190","his self titled",2
"1191","his solo hits",2
"1192","his song the",2
"1193","his third studio",2
"1194","his use of",2
"1195","his work in",2
"1196","his work on",2
"1197","his writing and",2
"1198","hit on the",2
"1199","hit single with",2
"1200","hit singles include",2
"1201","hit with the",2
"1202","honorary doctorate of",2
"1203","honored with the",2
"1204","honoring legendary jazz",2
"1205","honors from detroit",2
"1206","horace silver and",2
"1207","in 1966 and",2
"1208","in 1972 with",2
"1209","in 1987 and",2
"1210","in 1988 he",2
"1211","in 1990 he",2
"1212","in 1991 en",2
"1213","in 1993 to",2
"1214","in 1994 ali",2
"1215","in 1997 and",2
"1216","in 1998 and",2
"1217","in 2004 he",2
"1218","in 2005 he",2
"1219","in 2006 and",2
"1220","in 2008 he",2
"1221","in 2010 and",2
"1222","in 2011 and",2
"1223","in 2011 he",2
"1224","in 2014 he",2
"1225","in 2019 he",2
"1226","in a career",2
"1227","in a row",2
"1228","in a trio",2
"1229","in his solo",2
"1230","in his youth",2
"1231","in history with",2
"1232","in its list",2
"1233","in jazz he",2
"1234","in jazz his",2
"1235","in las vegas",2
"1236","in manhattan new",2
"1237","in memphis tennessee",2
"1238","in miami florida",2
"1239","in music composition",2
"1240","in nashville tennessee",2
"1241","in rolling stone's",2
"1242","in stan kenton's",2
"1243","in the 1940s",2
"1244","in the 1950s",2
"1245","in the 1990s",2
"1246","in the detroit",2
"1247","in the first",2
"1248","in the rolling",2
"1249","in the same",2
"1250","in the uk",2
"1251","in the wind",2
"1252","in this category",2
"1253","in washington d.c",2
"1254","in west coast",2
"1255","included the first",2
"1256","influence on a",2
"1257","institute and jazz",2
"1258","instrument he was",2
"1259","instrumentalist and record",2
"1260","instruments were the",2
"1261","into the down",2
"1262","is a danish",2
"1263","is a slovak",2
"1264","is a united",2
"1265","is also a",2
"1266","is also noted",2
"1267","is among the",2
"1268","is perhaps best",2
"1269","is the only",2
"1270","is yet to",2
"1271","it is the",2
"1272","it was his",2
"1273","japanese import and",2
"1274","jay leno from",2
"1275","jazz and bebop",2
"1276","jazz and classical",2
"1277","jazz and hard",2
"1278","jazz aspen for",2
